label_id,cluster_id,count
8,4248,1
9,2476,2
10,4315,1
11,2414,2
12,4730,1
13,4199,1
16,3849,3
17,5112,3
18,5131,3
19,4417,3
20,5108,3
21,3836,3
22,3675,3
23,4419,3
24,4933,3
25,3842,3
26,4923,3
27,3833,2
28,880,12
29,1620,5
37,1629,6
38,1437,7
39,1648,4
58,4919,2
59,5117,2
60,4895,3
61,4902,4
71,1864,5
72,1235,7
74,193,7
75,205,7
88,2863,4
89,2981,4
90,2995,4
91,1090,5
92,5013,2
93,4748,2
94,2987,4
95,3885,2
96,3920,2
97,4095,4
101,4764,2
102,3871,4
103,4612,4
105,2949,4
104,4666,3
106,1493,7
112,3825,5
114,3667,4
115,3670,4
116,3680,3
117,3688,2
118,3663,5
119,3679,3
120,3693,2
121,3698,2
122,3704,1
123,3706,1
132,3583,3
135,3550,3
147,1271,6
149,1851,4
150,1264,5
153,822,6
154,1250,7
155,264,8
156,219,8
158,327,8
159,2288,3
162,2269,3
163,2277,3
173,1598,4
169,308,6
171,1567,4
172,295,6
174,2091,3
175,2058,3
176,2082,2
177,320,7
178,2224,4
179,1456,4
180,2188,4
181,2182,2
186,96,9
187,2137,2
188,106,9
189,734,6
190,736,5
192,727,5
194,701,5
199,692,6
200,640,8
203,717,5
207,2235,3
208,1477,5
209,1774,4
210,1568,5
211,250,7
212,2221,2
217,1822,3
242,1795,4
243,1811,3
244,271,8
245,343,7
246,2260,3
247,2249,3
248,1825,4
249,2243,3
250,1520,4
251,236,6
252,336,9
253,243,7
254,353,8
255,2302,3
258,2174,3
259,1524,5
260,2214,2
265,632,5
266,2172,2
267,1496,5
268,85,10
269,2195,4
270,69,9
271,39,10
272,55,9
273,33,9
274,60,11
277,2286,2
278,2301,2
284,2140,4
289,2124,4
295,546,6
297,115,8
298,621,5
299,478,10
302,172,8
319,382,8
320,508,6
296,127,12
300,450,8
301,161,8
312,529,6
313,400,7
321,576,6
322,1309,7
323,462,6
324,588,7
325,566,6
336,1486,4
337,2234,2
339,1749,4
